id,x,y,population,opinion,area,seed_flag,group
0,0,0,1,0.13677087,1.0,0,
1,1,0,1,0.15168898,1.0,0,
2,2,0,1,0.33200437,1.0,0,
3,3,0,1,0.691613,1.0,0,
4,4,0,1,0.57683593,1.0,0,
5,5,0,1,0.66058135,1.0,0,
6,6,0,1,0.6300374,1.0,0,
7,7,0,1,0.690228,1.0,0,
8,8,0,1,0.33858904,1.0,0,
9,9,0,1,0.15551095,1.0,0,
10,10,0,1,0.31021997,1.0,0,
11,11,0,1,0.46888927,1.0,0,
12,0,1,1,0.16934232,1.0,0,
13,1,1,1,0.16784425,1.0,0,
14,2,1,1,0.38402602,1.0,0,
15,3,1,1,0.6605254,1.0,0,
16,4,1,1,0.6945311,1.0,0,
17,5,1,1,0.70541656,1.0,0,
18,6,1,1,0.6329075,1.0,0,
19,7,1,1,0.6957077,1.0,0,
20,8,1,1,0.38107887,1.0,0,
21,9,1,1,0.26006997,1.0,0,
22,10,1,1,0.20846914,1.0,0,
23,11,1,1,0.27111626,1.0,0,
24,0,2,1,0.36607727,1.0,0,
25,1,2,1,0.39930344,1.0,0,
26,2,2,1,0.61055934,1.0,1,
27,3,2,1,0.5934032,1.0,0,
28,4,2,1,0.6057691,1.0,0,
29,5,2,1,0.6018269,1.0,0,
30,6,2,1,0.5024655,1.0,0,
31,7,2,1,0.6790599,1.0,0,
32,8,2,1,0.60492426,1.0,0,
33,9,2,1,0.48533106,1.0,1,
34,10,2,1,0.36300024,1.0,0,
35,11,2,1,0.38283527,1.0,0,
36,0,3,1,0.63893855,1.0,0,
37,1,3,1,0.57750607,1.0,0,
38,2,3,1,0.5470343,1.0,0,
39,3,3,1,0.4047793,1.0,0,
40,4,3,1,0.38276902,1.0,0,
41,5,3,1,0.6697652,1.0,0,
42,6,3,1,0.6002674,1.0,0,
43,7,3,1,0.6544837,1.0,0,
44,8,3,1,0.5180202,1.0,0,
45,9,3,1,0.654011,1.0,0,
46,10,3,1,0.56230384,1.0,0,
47,11,3,1,0.576352,1.0,0,
48,0,4,1,0.6750592,1.0,0,
49,1,4,1,0.5654104,1.0,0,
50,2,4,1,0.6184319,1.0,0,
51,3,4,1,0.3195949,1.0,0,
52,4,4,1,0.035617907,1.0,0,
53,5,4,1,0.38162735,1.0,0,
54,6,4,1,0.7038842,1.0,0,
55,7,4,1,0.6621908,1.0,0,
56,8,4,1,0.6231317,1.0,0,
57,9,4,1,0.70807916,1.0,0,
58,10,4,1,0.64977896,1.0,0,
59,11,4,1,0.6126275,1.0,0,
60,0,5,1,0.66067046,1.0,0,
61,1,5,1,0.3676782,1.0,0,
62,2,5,1,0.62670577,1.0,0,
63,3,5,1,0.5172549,1.0,0,
64,4,5,1,0.36915094,1.0,0,
65,5,5,1,0.33316654,1.0,1,
66,6,5,1,0.6673854,1.0,0,
67,7,5,1,0.6942196,1.0,0,
68,8,5,1,0.6746689,1.0,0,
69,9,5,1,0.7285636,1.0,0,
70,10,5,1,0.61803895,1.0,0,
71,11,5,1,0.38375643,1.0,0,
72,0,6,1,0.84304136,1.0,0,
73,1,6,1,0.6734413,1.0,0,
74,2,6,1,0.63249356,1.0,0,
75,3,6,1,0.3699388,1.0,0,
76,4,6,1,0.40715477,1.0,0,
77,5,6,1,0.39279026,1.0,0,
78,6,6,1,0.6081853,1.0,1,
79,7,6,1,0.744047,1.0,0,
80,8,6,1,0.7460747,1.0,0,
81,9,6,1,0.60729206,1.0,0,
82,10,6,1,0.36279508,1.0,0,
83,11,6,1,0.35278463,1.0,0,
84,0,7,1,0.75716096,1.0,0,
85,1,7,1,0.566742,1.0,0,
86,2,7,1,0.6101116,1.0,0,
87,3,7,1,0.38723686,1.0,0,
88,4,7,1,0.34151864,1.0,0,
89,5,7,1,0.31159255,1.0,0,
90,6,7,1,0.5917142,1.0,0,
91,7,7,1,0.61357206,1.0,0,
