step,initial_mean_opinin,last_mean_opinin,best_labels,reward_best,best_opinion
0,3.470738172531128,3.432032346725464,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",0.49615478515625,"[6.08644962310791, 4.213200569152832, 2.2358059883117676, 2.1767895221710205, 2.3118791580200195, 3.0132882595062256, 1.585396409034729, 3.399543285369873, 3.738995313644409, 6.264465808868408, 4.940887451171875, 1.891362190246582, 2.624372959136963, 3.2573137283325195, 5.801662445068359, 3.692884683609009, 4.0471110343933105, 4.193257808685303, 4.251819133758545, 3.6684224605560303, 1.7905741930007935, 3.07719087600708, 3.822373867034912, 4.3099236488342285, 4.3969407081604, 3.973961591720581, 4.031444549560547, 4.234769344329834, 3.4957573413848877, 2.1210451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.591939926147461, 4.303930282592773, 2.835911273956299, 1.3820366859436035, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 1.5310676097869873, 2.689480781555176, 2.283381938934326, 1.1999109983444214, 2.6424994468688965, 4.368053913116455, 5.396090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.0053296089172363, 2.8238508701324463, 3.4730639457702637, 4.46026086807251, 4.771478176116943, 4.224910259246826, 3.2221832275390625, 2.263150215148926, 1.709280252456665, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 1.8174272775650024]"
1,3.470738172531128,3.4703989028930664,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",2.61700439453125,"[5.892901420593262, 4.088200569152832, 2.402472734451294, 2.6767895221710205, 2.3118791580200195, 3.084716796875, 1.7853964567184448, 3.7328765392303467, 3.881852388381958, 6.264465808868408, 4.940887451171875, 1.641362190246582, 2.624372959136963, 3.4573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 4.0265913009643555, 4.251819133758545, 3.9184224605560303, 1.7905741930007935, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 4.034769535064697, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.591939926147461, 4.303930282592773, 2.835911273956299, 1.7153700590133667, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 1.8644009828567505, 2.8894808292388916, 2.283381938934326, 1.5332443714141846, 2.6424994468688965, 4.368053913116455, 5.146090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.7230639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 1.4840939044952393]"
2,3.470738172531128,3.519392251968384,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",1.9118804931640625,"[5.538062572479248, 3.970553398132324, 2.7358062267303467, 3.1767895221710205, 2.3118791580200195, 3.227573871612549, 2.0853965282440186, 3.9828765392303467, 3.738995313644409, 6.264465808868408, 4.940887451171875, 1.641362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.251819133758545, 3.9184224605560303, 2.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 2.3820366859436035, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 2.1977343559265137, 3.2894809246063232, 2.283381938934326, 1.5332443714141846, 2.6424994468688965, 4.368053913116455, 4.646090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.7221832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 2.1507606506347656]"
3,3.470738172531128,3.5592737197875977,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",2.685089111328125,"[5.271395683288574, 3.970553398132324, 2.902472972869873, 3.4267895221710205, 2.3118791580200195, 3.2990024089813232, 2.0853965282440186, 3.9828765392303467, 3.738995313644409, 6.764465808868408, 4.940887451171875, 2.391362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.451818943023682, 3.9184224605560303, 2.9572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 2.715369939804077, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 2.5310676097869873, 3.489480972290039, 2.283381938934326, 1.5332443714141846, 2.6424994468688965, 4.368053913116455, 4.396090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 2.4840939044952393]"
4,3.470738172531128,3.5961151123046875,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",1.9456329345703125,"[5.038062572479248, 3.970553398132324, 3.0691397190093994, 3.4267895221710205, 2.3645107746124268, 3.2990024089813232, 2.0853965282440186, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 2.641362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.451818943023682, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 2.864400863647461, 3.489480972290039, 2.283381938934326, 2.199911117553711, 2.6424994468688965, 4.368053913116455, 4.146090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 2.817427158355713]"
5,3.470738172531128,3.609346628189087,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",0.78802490234375,"[4.93806266784668, 3.970553398132324, 3.0691397190093994, 3.4267895221710205, 2.417142391204834, 3.2990024089813232, 2.0853965282440186, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 2.891362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.451818943023682, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 3.1977341175079346, 3.489480972290039, 2.283381938934326, 2.5332443714141846, 2.6424994468688965, 4.368053913116455, 3.896090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 3.1507604122161865]"
6,3.470738172531128,3.6163275241851807,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",0.3380279541015625,"[4.90472936630249, 3.970553398132324, 3.0691397190093994, 3.4267895221710205, 2.469774007797241, 3.2990024089813232, 1.9853965044021606, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 3.141362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.451818943023682, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 3.1977341175079346, 3.489480972290039, 2.283381938934326, 2.866577625274658, 2.6424994468688965, 4.368053913116455, 3.896090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 3.1507604122161865]"
7,3.470738172531128,3.6223459243774414,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",0.268707275390625,"[4.90472936630249, 3.970553398132324, 3.0691397190093994, 3.4267895221710205, 2.469774007797241, 3.2990024089813232, 1.8853964805603027, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 3.141362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.651818752288818, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 3.1977341175079346, 3.489480972290039, 2.283381938934326, 3.199910879135132, 2.6424994468688965, 4.368053913116455, 3.896090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.8915770053863525, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 3.1507604122161865]"
8,3.470738172531128,3.617203712463379,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",-0.181427001953125,"[4.971395969390869, 3.9117298126220703, 3.0691397190093994, 3.4267895221710205, 2.5750372409820557, 3.2990024089813232, 1.9853965044021606, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 3.141362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.651818752288818, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 3.1977341175079346, 3.489480972290039, 2.283381938934326, 3.199910879135132, 2.6424994468688965, 4.368053913116455, 3.646090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.558243751525879, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 3.1507604122161865]"
9,3.470738172531128,3.6173858642578125,"FrankenData(orig_edge_num=280, opinion=[72, 1], pos=[72, 2], dist_label=[72], social_edge=[2, 348], edge_attr=[348], geographical_edge=[2, 127], geo_edge_attr=[127], reps=[4])",-0.14697265625,"[5.038062572479248, 3.8529062271118164, 3.0691397190093994, 3.4267895221710205, 2.68030047416687, 3.2990024089813232, 1.8853964805603027, 3.9828765392303467, 3.738995313644409, 7.264465808868408, 4.940887451171875, 3.141362190246582, 2.624372959136963, 3.9573137760162354, 5.134995937347412, 3.492884635925293, 4.0471110343933105, 3.859924554824829, 4.651818752288818, 3.9184224605560303, 3.4572408199310303, 3.07719087600708, 4.072373867034912, 4.3099236488342285, 4.3969407081604, 4.22396183013916, 4.031444549560547, 3.8347694873809814, 3.9957573413848877, 2.3710451126098633, 2.1831018924713135, 3.2874507904052734, 4.466853141784668, 4.304049968719482, 4.4190287590026855, 3.341939926147461, 4.303930282592773, 2.835911273956299, 3.048703193664551, 2.491302967071533, 3.7968971729278564, 3.966829776763916, 4.469862937927246, 2.9161217212677, 3.1977341175079346, 3.489480972290039, 2.283381938934326, 3.199910879135132, 2.6424994468688965, 4.368053913116455, 3.646090507507324, 4.621612071990967, 3.14084529876709, 1.9121086597442627, 2.918757677078247, 2.33866286277771, 2.8238508701324463, 3.9730639457702637, 4.46026086807251, 4.771478176116943, 3.558243751525879, 3.4721832275390625, 2.263150215148926, 2.0426135063171387, 2.4914422035217285, 4.373705863952637, 3.717193603515625, 4.489322185516357, 4.708503723144531, 3.7579052448272705, 3.029313325881958, 3.1507604122161865]"
